subj_idx,condition,rt,response,ams,pams,slps,ams_quantile,pams_quantile,slps_quantile,ams_bin,pam_bin,slp_bin
sub-04,0.0,0.521055,f,-0.11946633546049194,0.70367562681639,-0.7692685897483286,2nd,4th,2nd,-0.19491998907375852,1.2313996091069779,-0.4084657809195328
sub-04,0.0,0.5984537,f,-1.0109393664765132,0.233807202552521,-0.8603417377035725,1st,3rd,1st,-1.195873487968614,0.30439803046294756,-1.234351863704512
sub-04,0.0,0.4674948,f,-0.3460391372312509,-0.8913848692917443,-1.1618045447425405,2nd,1st,1st,-0.19491998907375852,-1.2550316574747953,-1.234351863704512
sub-04,1.0,0.425837,a,-0.1002290326649273,-0.3357512237796936,-1.082524915275962,2nd,2nd,1st,-0.19491998907375852,-0.280765982095129,-1.234351863704512
sub-04,1.0,0.4461952,a,-0.656143553752782,0.7257059383384762,-1.1054838349442586,1st,4th,1st,-1.195873487968614,1.2313996091069779,-1.234351863704512
sub-04,0.0,0.253569,a,0.43809587506908015,-0.989534713339505,-0.8647055361087342,3rd,1st,1st,0.30650564631918387,-1.2550316574747953,-1.234351863704512
sub-04,1.0,0.6455989,a,-0.20749649881858567,-0.3106471476983191,-0.9471849785171619,2nd,2nd,1st,-0.19491998907375852,-0.280765982095129,-1.234351863704512
sub-04,1.0,0.6069124,a,0.009038510037330048,-0.06702813776395794,-0.8604017054008681,2nd,2nd,1st,-0.19491998907375852,-0.280765982095129,-1.234351863704512
sub-04,0.0,0.5736235,a,-0.7143815897516266,-1.011518770570209,-0.9250476554684477,1st,1st,1st,-1.195873487968614,-1.2550316574747953,-1.234351863704512
sub-04,0.0,0.3559619,f,-0.7003904389387373,-0.0883190855302042,-0.9495823928162436,1st,2nd,1st,-1.195873487968614,-0.280765982095129,-1.234351863704512
sub-04,0.0,0.3763074,f,-1.1592668417254781,-0.1331964046954593,-0.9191982999225479,1st,2nd,1st,-1.195873487968614,-0.280765982095129,-1.234351863704512
sub-04,1.0,0.5093121,a,-0.30942706783318175,-0.025986752705189135,-0.8027312817798228,2nd,2nd,1st,-0.19491998907375852,-0.280765982095129,-1.234351863704512
sub-04,0.0,0.4263687,f,0.06223159804423618,0.4017350763856067,-0.6593915504861292,3rd,3rd,2nd,0.30650564631918387,0.30439803046294756,-0.4084657809195328
