ams,pams,slps,probe_accuracy,probe_rt,probe_attribute,cue_dimensionality,probe_leftrightwin,cue_color,cue_direction,cue_size,cue_luminance,subj,ams_quantile,pams_quantile,slps_quantile,am_bin,pa_bin,slp_bin
-0.16531761329146674,0.3356576875612136,1.151914338005761,1.0,0.47074,3,1,1,1,1,1,1,sub-STSWD1135,2nd,3rd,4th,-0.3975292985420119,0.30675450470793614,1.1331065517624739
0.5218893578896487,0.46328939371005307,1.05950556447545,1.0,0.50662,4,4,2,1,1,1,1,sub-STSWD1135,3rd,3rd,4th,0.31061284983546605,0.30675450470793614,1.1331065517624739
-0.7387036103024548,0.35099977323511716,0.8479845132275928,1.0,0.79552,1,4,1,1,1,1,1,sub-STSWD1135,1st,3rd,3rd,-1.2193429435686407,0.30675450470793614,0.5142567291249344
-0.6738289906160874,-0.0970280686190441,0.8548737656150427,1.0,0.81737,2,4,1,1,1,1,1,sub-STSWD1135,2nd,2nd,3rd,-0.3975292985420119,-0.34398265603282646,0.5142567291249344
1.8527519429182153,0.7160243134845138,0.7974558051468604,1.0,0.57242,2,4,2,1,1,1,1,sub-STSWD1135,4th,4th,3rd,1.3049013227641468,1.2634880918467066,0.5142567291249344
2.645121574235156,-0.6768301868129439,0.7693349035015867,1.0,0.77243,4,4,2,1,1,1,1,sub-STSWD1135,4th,1st,3rd,1.3049013227641468,-1.2268416303862681,0.5142567291249344
-0.0925965825721594,0.5906897339950595,0.6792374629199338,1.0,0.8363,1,4,2,1,1,1,1,sub-STSWD1135,3rd,3rd,3rd,0.31061284983546605,0.30675450470793614,0.5142567291249344
-1.2372697763049374,1.4115891590382135,0.7946882618681601,1.0,0.55124,1,4,1,1,1,1,1,sub-STSWD1135,1st,4th,3rd,-1.2193429435686407,1.2634880918467066,0.5142567291249344
1.5993523228520226,-0.28090308122647845,0.6969991381302912,0.0,0.53813,3,4,1,1,1,1,1,sub-STSWD1135,4th,2nd,3rd,1.3049013227641468,-0.34398265603282646,0.5142567291249344
-1.8288938814485112,-0.40516574193221777,0.8132580566127402,1.0,0.31005,1,1,2,1,1,1,1,sub-STSWD1135,1st,2nd,3rd,-1.2193429435686407,-0.34398265603282646,0.5142567291249344
-0.25965863082985513,-0.4107647631004011,0.6598469919825957,1.0,0.281,1,1,1,1,1,1,1,sub-STSWD1135,2nd,2nd,3rd,-0.3975292985420119,-0.34398265603282646,0.5142567291249344
0.44431019568521385,0.506221019770955,0.7847388005347922,1.0,0.37489,1,1,1,1,1,1,1,sub-STSWD1135,3rd,3rd,3rd,0.31061284983546605,0.30675450470793614,0.5142567291249344
-0.7617168917889295,-0.5577710892442438,0.7827489430362883,1.0,0.39779,1,1,1,1,1,1,1,sub-STSWD1135,1st,2nd,3rd,-1.2193429435686407,-0.34398265603282646,0.5142567291249344
-0.7534750519252906,-1.7924204077617851,0.8402924112017325,1.0,0.31486,1,1,2,1,1,1,1,sub-STSWD1135,1st,1st,3rd,-1.2193429435686407,-1.2268416303862681,0.5142567291249344
0.04873937540124295,-0.8899788737818962,0.918385416459969,1.0,0.28573,1,1,2,1,1,1,1,sub-STSWD1135,3rd,1st,3rd,0.31061284983546605,-1.2268416303862681,0.5142567291249344
0.8843019920821886,-0.5822508989173791,1.0183425025180095,1.0,0.34768,1,1,1,1,1,1,1,sub-STSWD1135,4th,2nd,4th,1.3049013227641468,-0.34398265603282646,1.1331065517624739
-0.18179936653454395,0.7715016246114663,1.1622795943526052,1.0,0.28271,1,1,2,1,1,1,1,sub-STSWD1135,2nd,4th,4th,-0.3975292985420119,1.2634880918467066,1.1331065517624739
-1.3350710542390478,0.18234068766023573,1.1603029727657188,1.0,0.39644,3,2,1,1,1,1,1,sub-STSWD1135,1st,3rd,4th,-1.2193429435686407,0.30675450470793614,1.1331065517624739
-0.5929525677064224,0.8934604067357231,1.2182865287123417,1.0,0.45744,3,2,2,1,1,1,1,sub-STSWD1135,2nd,4th,4th,-0.3975292985420119,1.2634880918467066,1.1331065517624739
0.5013731161603527,1.6720394388110216,1.2216516417409136,0.0,0.58944,4,2,1,1,1,1,1,sub-STSWD1135,3rd,4th,4th,0.31061284983546605,1.2634880918467066,1.1331065517624739
-1.0225010757364494,2.9958303694185844,1.1907490657626325,0.0,0.50731,4,2,2,1,1,1,1,sub-STSWD1135,1st,4th,4th,-1.2193429435686407,1.2634880918467066,1.1331065517624739
