probe_accuracy,probe_rt,probe_attribute,cue_dimensionality,probe_leftrightwin,cue_color,cue_direction,cue_size,cue_luminance,subj_idx,ams,pams,slps,ams_quantile,pams_quantile,slps_quantile,ams_bin,pam_bin,slp_bin
1,0.5365,4,2,1,1,1,1,1,sub-STSWD1216,0.1806930949266514,-0.043579543653031065,0.1086598450811565,3rd,3rd,2nd,0.320141900754554,0.24049706775089263,-0.32633622575605753
1,0.70639,2,2,2,1,1,1,1,sub-STSWD1216,0.20934173650597582,-0.57271388122411,0.03563614467384133,3rd,2nd,2nd,0.320141900754554,-0.3329187396169595,-0.32633622575605753
0,0.45138,2,2,1,1,1,1,1,sub-STSWD1216,-0.5336663675889035,-1.4633510501131715,0.08560507892928532,2nd,1st,2nd,-0.2640363056093601,-1.1240579115218812,-0.32633622575605753
1,0.8242,3,4,2,1,1,1,1,sub-STSWD1216,-0.7745671510616378,-0.1938170477225927,0.015352606180842082,1st,2nd,2nd,-1.2450177071914317,-0.3329187396169595,-0.32633622575605753
0,0.55618,2,4,2,1,1,1,1,sub-STSWD1216,0.4085586616887424,0.9152578797356757,-0.07335870735442046,3rd,4th,2nd,0.320141900754554,1.2150354947650404,-0.32633622575605753
1,0.95411,1,4,2,1,1,1,1,sub-STSWD1216,-0.09476677770653072,0.6298785128559271,-0.26746117377954237,2nd,4th,2nd,-0.2640363056093601,1.2150354947650404,-0.32633622575605753
0,1.016,2,4,2,1,1,1,1,sub-STSWD1216,0.7044904030030021,-0.22023209107332392,-0.38890275092050464,4th,2nd,2nd,1.1897887619703815,-0.3329187396169595,-0.32633622575605753
1,0.63093,1,4,1,1,1,1,1,sub-STSWD1216,-0.056949107366294854,-0.008560327062757715,-0.5517274127118929,2nd,3rd,2nd,-0.2640363056093601,0.24049706775089263,-0.32633622575605753
1,0.98591,4,4,2,1,1,1,1,sub-STSWD1216,-0.6415726921880345,-0.5060086798593353,-0.5697022363244806,1st,2nd,2nd,-1.2450177071914317,-0.3329187396169595,-0.32633622575605753
1,0.64381,4,4,1,1,1,1,1,sub-STSWD1216,-1.199030928432605,-1.8550773421325017,-0.6114770710167766,1st,1st,2nd,-1.2450177071914317,-1.1240579115218812,-0.32633622575605753
1,1.0417,4,4,2,1,1,1,1,sub-STSWD1216,-0.50333444500375,1.0202866975125666,-0.4224010869307757,2nd,4th,2nd,-0.2640363056093601,1.2150354947650404,-0.32633622575605753
0,0.26262,4,1,1,1,1,1,1,sub-STSWD1216,-0.4815169672247708,-1.245482948072274,-0.5951091749740466,2nd,1st,2nd,-0.2640363056093601,-1.1240579115218812,-0.32633622575605753
1,0.26956,4,1,2,1,1,1,1,sub-STSWD1216,0.5697729670033774,1.06936688130523,-0.6421179703478949,3rd,4th,2nd,0.320141900754554,1.2150354947650404,-0.32633622575605753
1,0.30947,4,1,2,1,1,1,1,sub-STSWD1216,1.6289523378456054,1.878249112828507,-0.7921853801392561,4th,4th,2nd,1.1897887619703815,1.2150354947650404,-0.32633622575605753
1,0.29047,4,1,1,1,1,1,1,sub-STSWD1216,0.0681055634773406,0.38054939090381285,-1.1713692761758823,3rd,3rd,1st,0.320141900754554,0.24049706775089263,-1.3739422120497913
1,0.31029,4,1,1,1,1,1,1,sub-STSWD1216,0.19868334419876504,0.250074716738624,-1.2968427018829087,3rd,3rd,1st,0.320141900754554,0.24049706775089263,-1.3739422120497913
1,0.27829,4,1,1,1,1,1,1,sub-STSWD1216,1.0264117261701176,-0.5553564474911711,-1.2485321227115214,4th,2nd,1st,1.1897887619703815,-0.3329187396169595,-1.3739422120497913
1,0.35119,4,1,1,1,1,1,1,sub-STSWD1216,-0.25262933777648866,-0.9948834511546596,-1.1926862735086603,2nd,1st,1st,-0.2640363056093601,-1.1240579115218812,-1.3739422120497913
1,0.25319,4,1,2,1,1,1,1,sub-STSWD1216,-1.4533638339432264,-0.06819927655129274,-1.1500254427088168,1st,3rd,1st,-1.2450177071914317,0.24049706775089263,-1.3739422120497913
0,1.2731,3,4,2,1,1,1,1,sub-STSWD1216,-0.035086380367508975,0.333647019662949,-1.2753733186729843,2nd,3rd,1st,-0.2640363056093601,0.24049706775089263,-1.3739422120497913
1,1.136,3,4,1,1,1,1,1,sub-STSWD1216,-1.1992250259175188,-0.9101304014846086,-1.2076302244616202,1st,1st,1st,-1.2450177071914317,-1.1240579115218812,-1.3739422120497913
