probe_accuracy,probe_rt,probe_attribute,cue_dimensionality,probe_leftrightwin,cue_color,cue_direction,cue_size,cue_luminance,subj_idx,ams,pams,slps,ams_quantile,pams_quantile,slps_quantile,ams_bin,pam_bin,slp_bin
1,0.37218,3,1,1,1,1,1,1,sub-STSWD1233,0.207995996427252,0.5142072390024904,-0.305320856580494,3rd,3rd,2nd,0.3731243155455088,0.27247201802000537,-0.23425375954444058
1,0.29407,3,1,1,1,1,1,1,sub-STSWD1233,-1.2142644873181894,2.9705433651924174,-0.32726582934455767,1st,4th,2nd,-1.2860982146834623,1.336695136513242,-0.23425375954444058
1,0.36801,3,1,1,1,1,1,1,sub-STSWD1233,-0.9829589131801149,1.3664337343713602,-0.17670878120897288,1st,4th,2nd,-1.2860982146834623,1.336695136513242,-0.23425375954444058
1,0.63389,2,2,1,1,1,1,1,sub-STSWD1233,-0.02557214978759184,0.36783127634572016,-0.4145709777500029,2nd,3rd,2nd,-0.3076324085534442,0.27247201802000537,-0.23425375954444058
1,0.46382,1,2,1,1,1,1,1,sub-STSWD1233,0.5905698640593603,-1.59591447691542,-0.5607314300192904,3rd,1st,1st,0.3731243155455088,-1.1978702900943503,-1.3219831200753307
1,0.40076,1,2,2,1,1,1,1,sub-STSWD1233,0.5253455998238052,-1.1370802965258746,-0.5282181649212507,3rd,1st,1st,0.3731243155455088,-1.1978702900943503,-1.3219831200753307
1,0.56673,2,2,1,1,1,1,1,sub-STSWD1233,-0.6129727211503234,-2.002171014389641,-0.6790272250232561,2nd,1st,1st,-0.3076324085534442,-1.1978702900943503,-1.3219831200753307
1,0.61458,2,2,2,1,1,1,1,sub-STSWD1233,1.1819357712764973,-0.37219107968303244,-0.43471862189042954,4th,2nd,2nd,1.2264363751217964,-0.4070394891573359,-0.23425375954444058
1,0.49562,1,2,2,1,1,1,1,sub-STSWD1233,-0.9999628048691681,-0.43629235597526034,-0.5989235605409612,1st,2nd,1st,-1.2860982146834623,-0.4070394891573359,-1.3219831200753307
1,0.56553,2,2,2,1,1,1,1,sub-STSWD1233,-0.226847542665963,0.3918263138841573,-0.3550800476726793,2nd,3rd,2nd,-0.3076324085534442,0.27247201802000537,-0.23425375954444058
1,0.41543,1,2,2,1,1,1,1,sub-STSWD1233,0.20265157685533233,-0.9946047656333893,-0.36326008153623623,3rd,1st,2nd,0.3731243155455088,-1.1978702900943503,-0.23425375954444058
1,0.64535,4,4,2,1,1,1,1,sub-STSWD1233,0.14556558498328198,-2.00650916767671,-0.3433358376921971,3rd,1st,2nd,0.3731243155455088,-1.1978702900943503,-0.23425375954444058
1,0.70229,2,4,1,1,1,1,1,sub-STSWD1233,0.9051471841309691,-1.1220410772030016,-0.21314742783172752,4th,1st,2nd,1.2264363751217964,-1.1978702900943503,-0.23425375954444058
1,0.52318,2,4,2,1,1,1,1,sub-STSWD1233,-0.5056934375915882,-0.6656602381607831,0.09922035019061264,2nd,2nd,3rd,-0.3076324085534442,-0.4070394891573359,0.34582414820083346
1,0.81311,1,4,1,1,1,1,1,sub-STSWD1233,0.9564152879964509,0.055069623788104385,0.2833399930751822,4th,3rd,3rd,1.2264363751217964,0.27247201802000537,0.34582414820083346
1,0.70105,3,4,1,1,1,1,1,sub-STSWD1233,0.9103086533368144,-0.0896395306731392,0.31970447618584524,4th,2nd,3rd,1.2264363751217964,-0.4070394891573359,0.34582414820083346
1,0.90302,1,4,1,1,1,1,1,sub-STSWD1233,-0.5052297873556512,0.7018355881209051,0.39527155599921376,2nd,4th,3rd,-0.3076324085534442,1.336695136513242,0.34582414820083346
0,0.97395,1,4,2,1,1,1,1,sub-STSWD1233,0.179950029689,1.8034763191271173,0.4137613611556397,3rd,4th,3rd,0.3731243155455088,1.336695136513242,0.34582414820083346
0,0.93188,4,4,1,1,1,1,1,sub-STSWD1233,0.9627896126851216,-0.18100358333770164,0.8126518335083609,4th,2nd,4th,1.2264363751217964,-0.4070394891573359,1.215816233734576
1,0.64177,1,2,1,1,1,1,1,sub-STSWD1233,-0.3021373166100454,-0.28480185012896403,0.9356582360044491,2nd,2nd,4th,-0.3076324085534442,-0.4070394891573359,1.215816233734576
1,0.74969,1,2,1,1,1,1,1,sub-STSWD1233,1.122759817767768,-1.7933134815211,1.0152280452340792,4th,1st,4th,1.2264363751217964,-1.1978702900943503,1.215816233734576
1,0.43899,3,2,1,1,1,1,1,sub-STSWD1233,-0.29439930323017277,0.335161962010668,0.7583100008320968,2nd,3rd,4th,-0.3076324085534442,0.27247201802000537,1.215816233734576
1,0.54891,3,2,2,1,1,1,1,sub-STSWD1233,0.029146642959904618,-0.3853516835258784,0.806193997291406,2nd,2nd,4th,-0.3076324085534442,-0.4070394891573359,1.215816233734576
0,0.55677,3,2,1,1,1,1,1,sub-STSWD1233,0.4044113803149862,1.3286123034095263,0.7850017368055351,3rd,4th,4th,0.3731243155455088,1.336695136513242,1.215816233734576
0,0.83273,1,2,1,1,1,1,1,sub-STSWD1233,-0.8759400822619526,-0.5193614070498779,0.97046705506673,1st,2nd,4th,-1.2860982146834623,-0.4070394891573359,1.215816233734576
1,0.73667,3,2,1,1,1,1,1,sub-STSWD1233,0.19048292243503423,-0.9430029946448432,1.1537052218761434,3rd,1st,4th,0.3731243155455088,-1.1978702900943503,1.215816233734576
0,0.51265,1,2,1,1,1,1,1,sub-STSWD1233,1.096817501058595,-0.9438016895469673,1.4558058487000078,4th,1st,4th,1.2264363751217964,-1.1978702900943503,1.215816233734576
1,0.34343,3,1,2,1,1,1,1,sub-STSWD1233,0.6929438722939514,-0.36123914442195665,1.5027248029243105,4th,2nd,4th,1.2264363751217964,-0.4070394891573359,1.215816233734576
1,0.35442,3,1,2,1,1,1,1,sub-STSWD1233,0.2003789610798298,-1.0967367373117767,1.6093119290557316,3rd,1st,4th,0.3731243155455088,-1.1978702900943503,1.215816233734576
1,0.3174,3,1,2,1,1,1,1,sub-STSWD1233,-0.928049660294904,0.6133629084313525,1.5618607874450616,1st,3rd,4th,-1.2860982146834623,0.27247201802000537,1.215816233734576
1,0.34126,3,1,1,1,1,1,1,sub-STSWD1233,2.2138856202484853,1.2856855760224377,1.5710816770427831,4th,4th,4th,1.2264363751217964,1.336695136513242,1.215816233734576
1,0.30224,3,1,1,1,1,1,1,sub-STSWD1233,0.42374502083409804,-0.15769639229556195,1.5141306318304864,3rd,2nd,4th,0.3731243155455088,-0.4070394891573359,1.215816233734576
1,0.30221,3,1,1,1,1,1,1,sub-STSWD1233,-1.3098747576055823,0.47620222594026496,1.6715979073249558,1st,3rd,4th,-1.2860982146834623,0.27247201802000537,1.215816233734576
1,0.29414,3,1,2,1,1,1,1,sub-STSWD1233,0.13315412366694823,-0.27911881136147876,1.4914951801039655,3rd,2nd,4th,0.3731243155455088,-0.4070394891573359,1.215816233734576
1,0.43504,3,1,2,1,1,1,1,sub-STSWD1233,-0.3343008290672537,-0.11949827973167107,1.71550289555219,2nd,2nd,4th,-0.3076324085534442,-0.4070394891573359,1.215816233734576
1,0.71791,4,3,2,1,1,1,1,sub-STSWD1233,0.2175747799403898,0.2675872853153191,1.688678856812906,3rd,3rd,4th,0.3731243155455088,0.27247201802000537,1.215816233734576
0,0.76389,4,3,1,1,1,1,1,sub-STSWD1233,-0.11414433565141416,0.4181021898718407,1.708962273392051,2nd,3rd,4th,-0.3076324085534442,0.27247201802000537,1.215816233734576
0,0.75178,4,3,1,1,1,1,1,sub-STSWD1233,-0.2439522714781177,-1.1947642056490484,1.5535146867086707,2nd,1st,4th,-0.3076324085534442,-1.1978702900943503,1.215816233734576
1,0.87771,1,3,2,1,1,1,1,sub-STSWD1233,2.2565724767585715,-0.10503173958376225,1.5256143289431965,4th,2nd,4th,1.2264363751217964,-0.4070394891573359,1.215816233734576
1,0.5897,3,3,2,1,1,1,1,sub-STSWD1233,-0.15987826406822447,0.8888058833664402,1.437950211121564,2nd,4th,4th,-0.3076324085534442,1.336695136513242,1.215816233734576
1,0.74564,3,3,2,1,1,1,1,sub-STSWD1233,-0.46071664049340805,1.0896539254066968,1.317667259591908,2nd,4th,4th,-0.3076324085534442,1.336695136513242,1.215816233734576
1,0.88156,1,3,1,1,1,1,1,sub-STSWD1233,-1.5679402140299397,-1.1537063028845744,1.1819717392868239,1st,1st,4th,-1.2860982146834623,-1.1978702900943503,1.215816233734576
1,0.52242,3,3,1,1,1,1,1,sub-STSWD1233,-0.8720024454351061,-0.5843303681269203,1.1552174740915042,1st,2nd,4th,-1.2860982146834623,-0.4070394891573359,1.215816233734576
1,0.43137,1,1,1,1,1,1,1,sub-STSWD1233,-1.030332973132698,0.2785989185886478,1.0562103190139194,1st,3rd,4th,-1.2860982146834623,0.27247201802000537,1.215816233734576
1,0.44831,1,1,1,1,1,1,1,sub-STSWD1233,1.0561267968370842,1.247735051210157,1.288900231401329,4th,4th,4th,1.2264363751217964,1.336695136513242,1.215816233734576
1,0.38253,1,1,1,1,1,1,1,sub-STSWD1233,0.46602197915043064,0.7397415029338529,1.1195605354370917,3rd,4th,4th,0.3731243155455088,1.336695136513242,1.215816233734576
1,0.34118,1,1,2,1,1,1,1,sub-STSWD1233,-1.906071243477893,-1.721658822324765,1.1811465253387943,1st,1st,4th,-1.2860982146834623,-1.1978702900943503,1.215816233734576
1,0.32241,1,1,1,1,1,1,1,sub-STSWD1233,0.8114985760010516,-0.4197831492173182,1.5991867079558975,4th,2nd,4th,1.2264363751217964,-0.4070394891573359,1.215816233734576
1,0.32346,1,1,2,1,1,1,1,sub-STSWD1233,0.09211405681122496,0.0852299977865193,1.4619607393313838,2nd,3rd,4th,-0.3076324085534442,0.27247201802000537,1.215816233734576
1,0.29423,1,1,2,1,1,1,1,sub-STSWD1233,-0.8574316766399949,0.15212061690361275,1.160881709785211,1st,3rd,4th,-1.2860982146834623,0.27247201802000537,1.215816233734576
1,0.41126,1,1,2,1,1,1,1,sub-STSWD1233,-1.743986962649231,0.3165711394673389,1.444389203295032,1st,3rd,4th,-1.2860982146834623,0.27247201802000537,1.215816233734576
1,0.95311,1,3,1,1,1,1,1,sub-STSWD1233,1.8925848502788722,1.2296439598929323,1.409642434631747,4th,4th,4th,1.2264363751217964,1.336695136513242,1.215816233734576
1,0.84305,1,3,1,1,1,1,1,sub-STSWD1233,-1.227895732778336,-0.9887052229017469,1.3206307378464504,1st,1st,4th,-1.2860982146834623,-1.1978702900943503,1.215816233734576
1,0.577,2,3,2,1,1,1,1,sub-STSWD1233,-0.6220807799379777,-1.0078207260198977,1.1347670042257396,2nd,1st,4th,-0.3076324085534442,-1.1978702900943503,1.215816233734576
1,0.80189,4,3,2,1,1,1,1,sub-STSWD1233,-0.6613377295244612,-1.1559382377911993,1.0018744587998338,2nd,1st,4th,-0.3076324085534442,-1.1978702900943503,1.215816233734576
1,0.93687,4,3,2,1,1,1,1,sub-STSWD1233,0.26362936820215027,0.2867623003827834,0.8721223090053759,3rd,3rd,4th,0.3731243155455088,0.27247201802000537,1.215816233734576
1,0.93581,1,3,2,1,1,1,1,sub-STSWD1233,-0.7039971672990019,-0.4455279339161704,0.7040487998387862,1st,2nd,3rd,-1.2860982146834623,-0.4070394891573359,0.34582414820083346
1,0.46074,1,3,2,1,1,1,1,sub-STSWD1233,-0.963963671724462,1.926033293615925,0.7276920479852207,1st,4th,4th,-1.2860982146834623,1.336695136513242,1.215816233734576
1,0.51862,1,3,1,1,1,1,1,sub-STSWD1233,-0.7515020158575936,-1.6051292496367215,0.5611286081184423,1st,1st,3rd,-1.2860982146834623,-1.1978702900943503,0.34582414820083346
1,0.80654,4,4,2,1,1,1,1,sub-STSWD1233,-0.7418320720730717,0.13920678890136748,0.39473016039664444,1st,3rd,3rd,-1.2860982146834623,0.27247201802000537,0.34582414820083346
1,0.87855,4,4,2,1,1,1,1,sub-STSWD1233,-0.7806545330258428,0.5792781174642586,0.2544212086418791,1st,3rd,3rd,-1.2860982146834623,0.27247201802000537,0.34582414820083346
1,0.73141,2,4,1,1,1,1,1,sub-STSWD1233,-0.5067080055160503,-0.09395956255754649,0.2633237110648739,2nd,2nd,3rd,-0.3076324085534442,-0.4070394891573359,0.34582414820083346
1,0.99135,1,4,2,1,1,1,1,sub-STSWD1233,0.029998647610169803,-0.5751299955494882,0.12520231175064975,2nd,2nd,3rd,-0.3076324085534442,-0.4070394891573359,0.34582414820083346
1,0.4503,3,4,2,1,1,1,1,sub-STSWD1233,-0.9203951824635433,0.5827446617299694,0.275530832738993,1st,3rd,3rd,-1.2860982146834623,0.27247201802000537,0.34582414820083346
1,0.66814,3,4,2,1,1,1,1,sub-STSWD1233,1.415432189235623,0.6352331748589607,0.3417217683190204,4th,3rd,3rd,1.2264363751217964,0.27247201802000537,0.34582414820083346
