,v_pams
818,0.0020533435617570554
819,-0.013249429308537272
820,0.005306597854051098
821,0.010348999736607353
822,-0.004130041004330026
823,0.02572993412938819
824,0.022565503405226575
825,0.027077353064929824
826,0.027820960843575555
827,0.017997962424677782
828,0.018913179401394812
829,0.026120105473121904
830,0.0232500402557523
831,0.02157196307159751
832,0.029697532698519585
833,0.025693523938422926
834,0.04500279065458992
835,0.03311136419149419
836,0.01814490545749195
837,0.01824753023945329
838,0.010347415530773896
839,-0.0006426879219487303
840,0.03213541086319988
841,0.03653396260106933
842,0.027540540197283605
843,0.036385711856735406
844,0.0017780824548248014
845,0.009725968202457361
846,-0.02607227226996082
847,-0.040491725321561145
848,-0.038931722519088
849,0.01588651830658046
850,0.06289951214696245
851,0.03547258108043984
852,0.0032422464862899153
853,-0.02572973325473574
854,0.0032836984451491747
855,0.028465584464888914
856,-0.016390455999708797
857,0.010038235055713548
858,0.04704304224836327
859,0.014812156910349657
860,-0.013711966477754467
861,0.012523586688283125
862,0.017031690278956603
863,-0.00011859732185359913
864,0.03461058880106771
865,0.027036632307710216
866,0.04503344628261048
867,0.03932380272961964
868,0.05397560922371916
869,0.056037103945973166
870,0.04051438423190598
871,0.03116268650585101
872,0.03768184781012813
873,0.045687867868130845
874,0.056618243469149024
875,0.05747237113695555
876,0.04720827021170815
877,0.07226962104866233
878,0.06639167057123342
879,0.05778019425355136
880,0.06129880771288566
881,0.07818384029297862
882,0.08978573195576865
883,0.08700069354181812
884,0.07078680511214003
885,0.08850771981635826
886,0.07782344484156525
887,0.057804902621417235
888,0.0446973738236791
889,0.06329589444133957
890,0.058549883180517015
891,0.04247628342874943
892,0.028457678495428317
893,0.041291483976308316
894,0.05100708202660348
895,0.03423591485398175
896,0.02268642821876394
897,0.040120199091157
898,0.026736083324156956
899,0.027339622396778993
900,0.019418587505789273
901,0.038881515378080406
902,0.03365270738678955
903,0.03205833292514907
904,0.03939771793849296
905,0.03888722510467202
906,0.051166710743930865
907,-0.046777619652993346
908,-0.013517999262050866
909,0.021218012690616177
910,0.03512326263392049
911,-0.01997103185362173
912,0.014938220947392696
913,0.05144306708882645
914,0.05368689507367994
915,0.05154664606751645
916,0.09005505964608623
917,0.08413342191375445
918,0.1383971009226093
919,0.13564823149902577
920,0.07653748793226668
921,0.0359865598374772
922,0.050978942397251245
923,0.03087248805106723
924,0.009606803025717276
925,0.03049428578427364
926,0.05989030001710765
927,0.08669252437261188
928,0.11125707261573801
929,0.12972487353959253
930,0.09482154203024007
931,0.1047488157927334
932,0.0920395821422781
933,0.11398160746717806
934,0.13861461190939567
935,0.13027944878580713
936,0.13172905499318702
937,0.1386733497108775
938,0.14727569505102187
939,0.1584988181217866
940,0.16697854197482784
941,0.1554455437644793
942,0.14528802832454557
943,0.12465549821923305
944,0.15116867152926777
945,0.17031983411862642
946,0.19712437380592512
947,0.18645066291331588
948,0.21179067008159502
949,0.23252647605485888
950,0.2276184108287829
951,0.23247742355305995
952,0.22760467738822748
953,0.2244166623530746
954,0.22405000249527357
955,0.225717807462978
956,0.18430628047712502
957,0.1724282659136641
958,0.18667950466151473
959,0.1781197932058723
960,0.17142860212395547
961,0.1726169635058084
962,0.15004764065068377
963,0.1348849034620423
964,0.16229443021772094
965,0.13356358548602412
966,0.15391336466768793
967,0.1667150759399447
968,0.15585151389502852
969,0.15474996450947837
970,0.15242775285448854
971,0.15732666737178155
972,0.15912499566793795
973,0.15732815939014244
974,0.15905669327547325
975,0.15724505222250998
976,0.15604584047160877
977,0.15892953684188202
978,0.15856995876029686
979,0.15924760769999935
980,0.1571473681597971
981,0.1601901755095419
982,0.16025779432332532
983,0.16395206063632414
984,0.14782281405958503
985,0.14241051216698467
986,0.1481022883205363
987,0.14466327114687733
988,0.14077771832129787
989,0.1396363247054997
990,0.14539593930756192
991,0.1469787090055055
992,0.14214055609442489
993,0.14370746562057604
994,0.1413428527445168
995,0.13938759102076875
996,0.14258332543051627
997,0.1439144487342707
998,0.146689155447748
999,0.14625238657219966
1000,0.12872553057942523
1001,0.1292038096783502
1002,0.12821149659282197
1003,0.10116321022703283
1004,0.09579100056077093
1005,0.09496230756693366
1006,0.08067293881378838
1007,0.08973122566927602
1008,0.0843491162176785
1009,0.08291057847336741
1010,0.07588659510700552
1011,0.06257601245403001
1012,0.09034805386166855
1013,0.06458268301375962
1014,0.08353515764095934
1015,0.08869639276526586
1016,0.07393775920112367
1017,0.09158386981966216
1018,0.06343426221097495
1019,0.055875825321503515
1020,0.06458191350697418
1021,0.019406761865645012
1022,0.022564757343930923
1023,0.02224492894220105
1024,0.05353529372536468
1025,-0.01020230262508421
1026,-0.01600285435224455
1027,-0.023914646393812085
1028,-0.05567963913315654
1029,-0.07657084245566716
1030,-0.08841615559853286
1031,-0.034316484335716456
1032,-0.050436786781329956
1033,-0.051298388646184426
1034,-0.036467764908500504
1035,-0.030389460685879766
1036,-0.01575058102591948
1037,0.0016194213063681247
1038,0.010888119458270819
1039,0.005780832380432457
1040,0.021423336980960536
1041,0.008639148504530118
1042,0.014313385348422173
1043,-0.007224543252516714
1044,-0.024578795769272875
1045,-0.027728672228814612
1046,-0.0333350491615895
1047,-0.037361187874722965
1048,-0.08223091688814421
1049,-0.10614850393601975
1050,-0.04209223482999089
1051,-0.014232477191503466
1052,0.05388116549247712
1053,0.039835710450258445
1054,0.036779583021657486
1055,0.027374083388609232
1056,0.025509636111962754
1057,-0.006727596754096493
1058,-0.03803058704088166
1059,-0.01751567608943383
1060,-0.005758954799408554
