,v_pam_bin
212,-0.046301271673047505
213,-0.04273008805013373
214,-0.04412509047967941
215,-0.04417645124501569
216,-0.0448587436201351
217,-0.04448217258397397
218,-0.04306863349344336
219,-0.043979468668198726
220,-0.0441065414755821
221,-0.044934673205287885
222,-0.044489543991307876
223,-0.04491072263802255
224,-0.0440023581392663
225,-0.04355957708498322
226,-0.04322226412127198
227,-0.04311557697260739
228,-0.04312835506209441
229,-0.04328216978139436
230,-0.04319277141257296
231,-0.043240678858271375
232,-0.04300797757642322
233,-0.042763924155015426
234,-0.04246015619186517
235,-0.042912952200820594
236,-0.04317091990520608
237,-0.04251307666266939
238,-0.0428881264028151
239,-0.04261124665937072
240,-0.043386399799359134
241,-0.04302714638734184
242,-0.04300169545142531
243,-0.04382149247483506
244,-0.04377109058840142
245,-0.044330939681872975
246,-0.04478858139606489
247,-0.04436654158790671
248,-0.043775775938615175
249,-0.043714335061744845
250,-0.042644705866107115
251,-0.04283237874923794
252,-0.04239044650530224
253,-0.04208291820429019
254,-0.043410005289597486
255,-0.04316743280910813
256,-0.04365467539919459
257,-0.04319213849050486
258,-0.042559012978246
259,-0.04207124456730589
260,-0.04248963333632118
261,-0.04205964413069855
262,-0.04111745997427228
263,-0.040955088228027854
264,-0.04172232927573985
265,-0.04186386424574362
266,-0.0412913462370258
267,-0.041749260252081685
268,-0.041065268230992866
269,-0.04031642705842872
270,-0.038699677282208036
271,-0.03757422322220709
272,-0.03611101602112662
273,-0.03540418133421822
274,-0.035090665260095875
275,-0.03411983286598985
276,-0.0335389811257418
277,-0.0335178744419932
278,-0.0339386523884063
279,-0.035196336740313555
280,-0.03576362232819859
281,-0.03923769210581067
282,-0.038106224556437265
283,-0.038201827935589815
284,-0.038164839135069406
285,-0.03760048812843327
286,-0.03696685693659114
287,-0.039936818880967936
288,-0.039709399262185856
289,-0.03926604219181411
290,-0.03842020068484332
291,-0.0396451443962197
292,-0.04027938927486074
293,-0.04110521643704008
294,-0.03858353114825139
295,-0.039897879177366334
296,-0.03729761977622236
297,-0.036736175540243915
298,-0.03651914553917437
299,-0.03429372775626719
300,-0.03490259147935379
301,-0.031227441251188492
302,-0.03467347910039758
303,-0.03417188808164074
304,-0.03671365052751225
