,v_ams_bin
138,-0.013748647453618177
139,0.045626025716750646
140,0.04493750172086396
141,-0.06583922143149323
142,0.023409322944564166
143,0.05839981964976167
144,0.0333008347191034
145,0.06214016706521908
146,0.07114425716658385
147,0.0097589487817361
148,0.021346930705390676
149,0.019594889514051125
150,0.031288503072559856
151,0.13920543331546364
152,0.021566312122353465
153,0.1211266607549084
154,0.04696495348556869
155,0.02287570501918605
156,0.0479809060480727
157,0.022471712986810912
158,-0.042573567459958155
159,0.000920342491263779
160,0.01208444130844704
161,0.059232284978878426
162,-0.020183090564584005
163,0.10934836687519531
164,0.02160231310407827
165,-0.1524321041882217
166,-0.08466695863465004
167,-0.0481028741617221
168,-0.06845054098708378
169,0.0017329338628473273
170,0.07996940286742443
171,0.042957177229433596
172,0.011013669600346929
173,0.03009445855362515
174,0.04863440239674714
175,0.07880053238530399
176,0.019778533456682464
177,0.07786965527778913
178,0.0601027793869956
179,0.021819083510102148
180,0.01401109532587173
181,0.04042290346650228
182,0.03617574114192046
183,0.03069299743147759
184,0.04488917800865948
185,0.03676029089096452
186,0.02147605074646384
187,0.023109317182266748
188,0.019120361616481705
189,0.020107891667870217
190,0.018002997642311284
191,0.024840139662369642
192,0.041667546042404364
193,0.050099808724889186
194,0.04951829280269293
195,0.039705553525840806
196,0.04809195494348901
197,0.051464136901062066
198,0.06603978449499938
199,0.0478774209142947
200,0.04705611685988957
201,0.059875007247253066
202,0.07333288983156727
203,0.06826265098650121
204,0.062491220111406454
205,0.08248876333176072
206,0.07738820687779291
207,0.07035888813686465
208,0.07171692887202281
209,0.023404675967895944
210,0.05406307756132863
211,0.031420237044896694
212,0.014633114049154145
213,-0.025462230817320904
214,-0.015088802288540856
215,-0.024843826708898974
216,-0.02505958079452943
217,-0.026206165022531716
218,-0.023313522507537356
219,-0.02508978832670271
220,-0.024996871086022318
221,-0.028033486782456422
222,-0.026038793394052167
223,-0.02809728806651325
224,-0.02699622396955839
225,-0.03030846129505382
226,-0.027358675040219722
227,-0.022405691742874587
228,-0.028270966357388374
