,v_ams
96,0.01614128457202347
97,0.07053973800431387
98,-0.03259268846485559
99,0.025939151356049964
100,0.00470860737156446
101,-0.1000092217482332
102,0.058918218083567966
103,0.09278369881615998
104,0.018441821220200733
105,-0.05923389495924375
106,-0.010710341497141167
107,0.022598769075834777
108,0.023749169187076088
109,0.0020760283340458437
110,0.12882711180544243
111,0.0866501550064516
112,0.11704519986212211
113,0.042786292952667414
114,0.03744140235441758
115,0.08881359970489205
116,0.11551635538938704
117,-0.004021319005508853
118,0.039349086047587786
119,0.058208224102319364
120,0.001990729187072729
121,0.08104428502627142
122,-0.00992166485836201
123,-0.05177266972745471
124,0.0270089194114118
125,0.012926794240441568
126,0.06367636428559134
127,0.08158425498714124
128,0.08482878384967155
129,0.15016858736230654
130,0.05798826798684277
131,0.07517543947708412
132,0.002583253734154599
133,0.09275966306926291
134,0.06784185765004283
135,0.08832617310942202
136,0.09452769891622073
137,0.06749357214220293
138,0.1078038035698613
139,0.0501641979470147
140,-0.005266994665922738
141,0.16852374589099223
142,-0.030847364989507832
143,0.02072866249845906
144,0.05533023088062986
145,0.04394559383677453
146,0.04154758190296954
147,0.01182481349999272
148,-0.0014068555635311892
149,0.00381411729266966
150,0.002320036142288987
151,0.08291884361082154
152,0.006572346337765834
153,0.017018994095401946
154,0.03588813479605987
155,-0.12349999419837962
156,-0.03721159798777905
157,0.03558546891146655
158,0.036963831124762744
159,0.02833957559635216
160,0.012015433954743006
161,0.015259447440834331
162,0.04798375997288412
163,0.012494212628067429
164,0.030814425881897943
165,-0.06815568144900792
166,0.006637628071669125
167,0.038544564953758284
168,0.03915071943167542
169,-0.042880270289933034
170,0.03281076783317166
171,0.10501763091714533
172,-0.027933365039399666
173,0.09124782944344917
174,0.08749339770312713
175,-0.1083970576405838
176,0.04163995783221472
177,0.07443813811917407
178,0.009594735235079546
179,0.025148768966244767
180,0.10718019863910169
181,0.09939414549127212
182,0.1715919084045736
183,0.07378156482868463
184,-0.008324022838069451
185,0.024815587886127036
186,-0.08915168592335332
187,-0.05808696073722228
188,0.012417198426662876
189,-0.06675620738866658
190,0.02385644225826053
191,-0.10991552207864495
192,-0.17946363505413498
193,-0.05930211799522343
194,-0.03349522189378212
195,-0.09484309934985444
196,-0.055251820815393565
197,-0.008816813339706978
198,-0.05856485288659098
199,-0.05151512735227549
200,-0.01699925346078684
201,-0.019161243495369785
202,0.04187764353262577
203,0.000757596276534836
204,0.03029067502891551
205,0.002784773666871314
206,0.0014431101428191827
207,-0.03285570781061375
208,-0.08839288072857135
209,-0.07069201624290364
210,-0.02994458894790404
211,-0.12326492123614904
212,-0.057756791358932025
213,0.012449082379345305
214,0.03235218419808502
215,0.03387733860940522
216,0.09887891683151123
217,0.039857424746721645
218,0.12807660415142325
219,-0.006436450700427816
220,0.003929052031099927
221,0.07060010013275989
222,0.04068890598119966
223,0.10557600063059726
224,0.11640054207512457
225,0.01439412549541394
226,0.07879028474454661
227,0.06767784070955436
228,0.002626004851847134
229,-0.07051826865920431
230,0.023188245886063538
231,0.045330247342542276
232,0.06574255088077702
233,0.08462985597530892
234,0.062293439495541336
235,0.02123613229321323
236,0.2143004831363548
237,-0.019670010843861704
238,-0.01567553632019432
239,0.007432784501492644
240,0.013025942688552665
241,-0.0307426045884596
242,-0.04298401829030684
243,-0.044013803595278504
244,0.013531461788388285
245,0.02965569274800815
246,0.10234261296334579
247,0.06432828498491583
248,0.012513595202765437
249,-0.020205762159254702
250,-0.013693964756765238
251,0.052196808765869254
252,0.01637964580772227
253,0.053775096899573625
254,0.03808345921190094
255,0.016523491389258196
256,0.15207287325572555
257,0.17573298661909229
258,0.04259547017093667
259,-0.005917073947525976
260,0.07347686214615456
261,0.017869364962006466
262,-0.024019185360477834
263,-0.06019419687980987
264,-0.03885883383063571
265,0.020936182073387377
266,-0.037806531144223554
267,0.04789914870953216
268,-0.11372135195466541
269,-0.04799349386852525
270,-0.033625649692595114
271,-0.030809458159953035
272,-0.009678626402818465
273,0.04163935729527411
274,0.07908787855499623
275,0.02682529663883139
276,0.0431372716895118
277,-0.016571688900624326
278,-0.05744504664006667
279,-0.05083922611942059
280,-0.05408755763096819
281,-0.04163704629622286
282,-0.07477565002072872
283,-0.031590075774072565
284,-0.01584221518335896
285,0.035052097367621986
286,0.04976775284417002
287,0.05514134528404254
288,0.003889973462554548
289,0.08284134633693938
290,0.05723772759342737
291,0.07914409006137522
292,0.060682253877879774
293,0.08460075749283617
294,0.048893334894557
295,0.0318513375002584
296,0.02899134047739121
297,0.05229472867164515
298,0.10433085559331216
299,0.02990401819394411
300,0.03447467888711844
301,0.0006092303549385471
302,0.019100622503693005
303,0.03318705238378312
304,-0.02562684967730697
305,0.03147541585390434
306,0.019732270229809508
307,0.03298550530461781
308,0.03781460508690675
309,0.06637042949472365
310,0.11318070913877695
311,0.021847871051426764
312,0.07333736439420586
313,0.09339076932159737
314,0.023765025295518546
315,0.0109173809378891
316,0.06561521453945993
317,0.0030760496478951117
318,0.04030145302177901
319,0.06252749866348617
320,0.032796004891668756
321,-0.012925593304927365
322,-0.011344569705811953
323,0.003993145646471852
324,0.06003959429515126
325,-0.009220573666261597
326,0.03356943615858249
327,0.08775183070856227
328,0.05458233148160304
329,0.11574623498557443
330,0.08232595740818685
331,0.0774301396304703
332,0.1363893108006281
333,0.10522553894307463
334,0.10878435551287503
335,0.11574156238042353
336,0.06391210836921978
337,0.014104693443056641
338,0.07753006372048864
339,0.045189289332456986
340,0.06655100786025894
341,0.13471245332430204
342,0.11674496542491941
343,0.031049119828035654
344,0.08310783870714758
345,0.03625347901978756
346,0.006620668727572065
347,0.04272104653392062
348,0.05822685241636551
349,0.042556185535034596
350,0.016797628709769273
351,0.040821511074048876
352,0.11401186869134972
353,0.1591365167470889
354,0.04771146759778345
355,8.287793817028655e-05
356,0.00999110122196454
357,-0.01883685538534357
358,-0.007426214576297915
359,0.03639662544696948
360,0.0452764207020898
361,-0.003992178859287512
362,-0.051710534721397236
363,-0.025671764442445937
364,-0.00045903107960725865
365,0.022094928333718268
366,0.043820868473764166
367,0.07766433119464095
368,0.03985699324326551
369,-0.002774339029763498
370,-0.03202114361256525
371,0.01738213615549554
372,0.01094388359861306
373,0.023888855951465744
374,-0.035216718309292086
375,0.07045861188566271
