,v_slp_bin
99,0.06251571642297671
100,0.10938279611641516
101,0.07960551832221477
102,0.014834621960071254
103,0.11136177952913195
104,0.12203615467942276
105,0.011597409107584528
106,0.006697244886185966
107,0.06953518417227128
108,0.08304301620936613
109,0.06662246812287287
110,0.06868347007262093
111,0.06797752745045355
112,0.07638712508474696
113,0.07331127439260912
114,0.06394701978450051
115,0.009550548092964031
116,0.017634793498126057
117,0.07050970574710139
118,0.021562633862332703
119,0.06737153549634002
120,0.05088486853630275
121,0.029230648879512558
122,0.056991269332380606
123,0.04535976604603975
124,0.025999909200567224
125,-0.03448102304449268
126,0.02920903841955239
127,0.01198155186730806
128,0.013191513901591461
129,-0.030927351131797544
130,0.009263948783534495
131,0.05564692573934492
132,0.04459797739650781
133,0.006504495133253546
134,0.0142617390774861
135,0.0071268563630641464
136,0.01771469949605299
137,-0.008862350752364922
138,-0.02918478636098374
139,-0.07713675370226791
140,-0.005495411701731751
141,-0.050091868674035284
142,0.014916892514259388
143,0.01687598888899175
144,0.00327026836263254
145,0.02190750970134594
146,0.023556180288165564
147,0.0031700092038416464
148,2.2013492822570493e-05
149,-0.003139472922597905
150,-0.03871094979506963
151,-0.027862333858195143
152,0.030529871705276913
153,-0.043158349460165626
154,-0.06432804399597128
155,-0.01239828170758658
156,-0.12920824941377657
157,-0.11140097553547282
158,0.04894838628249902
159,0.057690034397903114
160,0.04895876133415977
161,-0.1069718568972284
162,-0.09057454614280973
163,-0.13987703050294104
164,-0.08544482775828269
165,-0.10372913942649128
166,-0.10101957258561836
167,-0.05955455249712592
168,-0.10897195848438933
169,-0.07273119761506598
170,-0.16466160460327026
171,-0.07612023973156962
172,-0.04689728107317513
173,-0.015380483364916035
174,-0.011550404311691822
175,-0.012177707730003779
176,-0.05302324852945098
177,-0.014141901415152425
178,0.014076569112526152
179,-0.04872992736233012
180,-0.03969395984392998
181,-0.020902949177000002
182,0.005948958861892294
183,-0.015596706935953743
184,0.022632100210601015
185,-0.005890847521086564
186,-0.0066266933570801375
187,-0.11191707726367414
188,-0.03931844988966695
189,-0.05300001260626347
190,-0.05111589740421639
191,-0.0700903685013449
192,-0.065190785007209
193,-0.054111212218124434
194,-0.07658932642469833
195,-0.033686414956812946
196,-0.00901701375291214
197,0.002047727828824158
198,-0.01739716094807295
199,-0.010646957387982048
200,0.009425647307519068
201,0.03191030272807506
202,0.04431151885200064
203,0.03869063406313185
204,0.03965019963878669
205,0.025101677373019365
206,0.026962825533528658
207,0.019803409347818397
208,0.022501482020803876
209,0.012709273283423275
210,-0.011375379620077378
211,0.007042042433043031
212,-0.0043815701399696405
213,-7.91890262850925e-05
214,0.007575785333537137
215,0.00032403361540828124
216,0.001314938921062248
217,-0.007396962178759991
218,0.0007843577506476676
219,0.009752694698954381
220,0.02009822439681575
221,0.053570234966285754
222,0.04326606704191535
223,-0.012510675387913938
224,0.07453136329138625
225,0.055805440044709845
226,0.08690578629823037
227,0.06908567892431493
228,0.04497214981384927
229,0.06075823512611425
230,0.04748564019682703
231,0.06100363984266406
232,0.06400045822395141
233,0.061415847811440674
234,0.02507174997662933
235,0.0034376852734447003
236,0.011897176834460626
237,0.04138092336661
238,0.014049265635102667
239,0.015642740366951687
240,0.04942267780620255
241,0.03275832632459917
242,0.03302604581331984
243,0.013830598910172163
244,-0.0019411861858746708
245,0.022895912496734845
246,0.057434588898881256
247,0.039515809540955946
248,0.01018661837321752
249,0.10760500390393052
250,0.09163348398418447
251,0.1323194206261969
252,0.13789835942703443
253,0.08530887252779157
254,0.13516363633976322
255,0.0807394650219537
256,0.0739307165773012
257,0.021060261911102635
258,0.09127665472142144
259,-0.029218234110302076
260,0.011096438968317072
261,0.03196282282186441
262,0.11229643479258936
263,0.01663458085482214
264,0.027908824056704494
265,-0.0012874578465886938
266,-0.0252995559449116
267,0.028172115881595055
268,-0.005130383805070154
269,-0.023858150734493044
270,-0.03299840470314925
271,-0.060608576905235745
272,-0.05986110367313114
273,-0.13874276371422958
274,-0.14513005261195958
275,-0.14214464205329666
276,-0.06445815509228191
277,-0.062074632261554394
278,-0.059291177792668404
279,-0.06959825875716923
280,-0.018176846114753765
281,-0.04381462282656455
282,-0.019476669954213786
283,-0.05580709000933806
284,-0.02558789128101506
285,-0.018417778808624392
286,0.019047543846309245
287,-0.017588500175193
288,0.004524215538568726
289,0.02519585923410489
290,0.02913400016434388
291,0.0003887737957362046
292,0.06395349276733706
293,-0.0013226739481953
294,0.0032886988693014143
295,-0.007841196602581531
296,-0.008055308316571471
297,-0.016644848448932385
298,0.013472111363981944
299,-0.013771167908065617
300,-0.017820490645100613
301,-0.06843064276850447
302,-0.05237622717641484
303,-0.04728700432476899
304,-0.020221867718983523
305,-0.013381069474005252
306,-0.01612362108432322
307,-0.01473763595680665
308,0.033001419117264924
309,0.010156799574146898
310,-0.0673112506903317
311,-0.02658513310095868
312,0.000696141302147249
313,-0.14728084500327948
314,-0.07225710281472007
315,0.08641847791905702
316,0.10737281187074063
317,-0.10799597213802274
318,-0.07861162260845785
319,-0.07237789075970773
320,-0.03946244681721555
321,-0.03218206259009576
322,-0.06543957185993426
323,-0.03443082857694233
324,-0.055147046216460216
325,-0.006886315257906234
326,-0.024947134938704745
