subj_idx,condition,rt,response,ams,pams,slps,ams_quantile,pams_quantile,slps_quantile,ams_bin,pam_bin,slp_bin,bin_id,ams_bin_cpp
sub-15,1.0,0.380720800021663,f,0.5394555162230119,0.2874934280712481,-0.0422789189424675,3rd,3rd,3rd,0.4706203904159861,0.3590587516296171,0.3089024228791431,638,0.5393786587390886
sub-20,0.0,0.531374200014398,a,0.5397393629209747,0.0499029649590149,0.0817715244286211,3rd,2nd,3rd,0.538907348963851,-0.1328770653560337,0.3415061287448191,638,0.5393786587390886
sub-04,1.0,0.5289616,a,0.5398889001769434,-3.457686168730433,-0.5364449913651145,3rd,1st,2nd,0.306506175688641,-1.255032058739156,-0.4084667903048427,638,0.5393786587390886
sub-05,0.0,0.677449599956162,a,0.5402794099547461,-0.0437274022419358,0.0964077653307594,3rd,2nd,3rd,0.4536186193268918,-0.2479583081114959,0.3168240136875336,638,0.5393786587390886
sub-09,1.0,0.416348099941388,f,0.5404096294880031,0.3363413408935891,-0.6682014592703114,4th,3rd,2nd,1.0226818298521736,0.2664681581517543,-0.4745941420593808,638,0.5393786587390886
sub-07,1.0,0.235664800042287,f,0.5404673537315666,-1.0496241316504444,0.8027197778073857,4th,1st,3rd,0.813811793056568,-0.7017416724813618,0.4345393507475761,638,0.5393786587390886
sub-13,1.0,0.393649499994353,f,0.5406329630427027,0.9986100688920332,-0.440897957956341,3rd,4th,2nd,0.3361811569603536,1.2307748757643735,-0.3892423808585573,638,0.5393786587390886
sub-19,0.0,0.474472199915908,a,0.5406616407607778,-0.0282747661724931,0.1132776622196103,3rd,2nd,3rd,0.2876759003414911,-0.279487052748871,0.3718381688319701,639,0.5414383046888013
sub-12,1.0,0.343656499870121,a,0.5406699175370587,-0.3477469428899653,-0.3091111435094488,3rd,2nd,2nd,0.3417435439474494,-0.3244618389738705,-0.2660804280924346,639,0.5414383046888013
sub-03,1.0,0.3635605,f,0.5407917782403683,1.1755647054129423,0.563558116103671,3rd,4th,3rd,0.2960600786664989,1.2974976574250376,0.340384711170971,639,0.5414383046888013
sub-18,0.0,0.428500599926338,f,0.5409027024489822,-0.296858169560769,0.5133485898620841,3rd,2nd,3rd,0.4819890124616554,-0.2143338919288813,0.2341913761528105,639,0.5414383046888013
sub-12,0.0,0.33608020003885,a,0.5409230643756519,0.4901138577656388,1.2549321011862509,3rd,3rd,4th,0.3417435439474494,0.3174572029658156,1.2385809550708111,639,0.5414383046888013
sub-01,1.0,0.3551802,a,0.5410327631524025,-0.7908405650279864,1.0043112223548465,3rd,1st,4th,0.2841648903710896,-1.2252449397856893,1.2849082299077648,639,0.5414383046888013
sub-18,1.0,0.262964199995622,a,0.541053321639973,-1.5255359403569038,0.6279262659123348,3rd,1st,4th,0.4819890124616554,-1.30368509082108,1.3004980638498875,639,0.5414383046888013
sub-05,0.0,0.567050500016194,a,0.5412034345702964,0.8812783377654152,0.0399758883679631,3rd,4th,3rd,0.4536186193268918,1.1854402731997449,0.3168240136875336,639,0.5414383046888013
sub-05,0.0,0.440517900016857,a,0.5412619101740257,0.7200939248431286,-0.0018079920813064,3rd,3rd,2nd,0.4536186193268918,0.4137397788718945,-0.2101509656399988,639,0.5414383046888013
