subj_idx,condition,rt,response,ams,pams,slps,ams_quantile,pams_quantile,slps_quantile,ams_bin,pam_bin,slp_bin
sub-07,0.0,0.324516099994071,a,0.6262505679268783,-0.5632716199458823,1.1524922973096487,4th,1st,4th,0.813811793056568,-0.7017416724813618,1.2158635162430274
sub-07,0.0,0.367517300066538,a,-0.43619326486368165,-0.34709178513222494,1.2058037814585623,1st,2nd,4th,-0.8900980656666287,-0.19805887369775793,1.2158635162430274
sub-07,1.0,0.358892200049013,f,0.7770148197471962,0.05741796136546366,1.119535584038633,4th,3rd,4th,0.813811793056568,0.14475967396192294,1.2158635162430274
sub-07,0.0,0.397226899978705,a,-0.5086153045691976,0.2716083816605538,1.2368516603114343,1st,3rd,4th,-0.8900980656666287,0.14475967396192294,1.2158635162430274
sub-07,0.0,0.374208000022918,a,0.250827386921167,1.5620246819928834,1.3131085480423774,3rd,4th,4th,0.22210378305198122,0.7581736475407744,1.2158635162430274
sub-07,0.0,0.432221699971706,a,0.5130876976851418,-0.19071773849007245,1.082739666176139,4th,2nd,4th,0.813811793056568,-0.19805887369775793,1.2158635162430274
sub-07,0.0,0.345587700023316,a,-0.28464793573816705,-0.08800080908495286,1.290558897830295,2nd,2nd,4th,-0.1418438583630516,-0.19805887369775793,1.2158635162430274
sub-07,0.0,0.39726320002228,a,-0.6220777749186347,0.06659231993801604,1.3713635121070056,1st,3rd,4th,-0.8900980656666287,0.14475967396192294,1.2158635162430274
sub-07,0.0,0.267929499968886,a,0.01562206222428899,-0.27183503717781077,1.5534545937661246,2nd,2nd,4th,-0.1418438583630516,-0.19805887369775793,1.2158635162430274
sub-07,0.0,0.343928699963726,a,0.6855551472325462,0.038066409631009865,1.7892530957078558,4th,3rd,4th,0.813811793056568,0.14475967396192294,1.2158635162430274
sub-07,0.0,0.430700700031593,a,0.4468685673415074,-0.13329660470315058,1.7443260311036457,4th,2nd,4th,0.813811793056568,-0.19805887369775793,1.2158635162430274
